name,quantity,itemEffects,weight,value,description,durability,oldItemTier,,,
Engineering Suit,1,"Engineering Suit Defense, Space Vacuum Life Support",12,10 bc,"Head Armor, Body Armor, Arm Armor, Leg Armor",15/15,Quality,,,
Security Suit,1,"Security Suit Defense, Space Vacuum Life Support",12,10 bc,"Head Armor, Body Armor, Arm Armor, Leg Armor",15/15,Quality,,,
Advanced Suit,1,"Advanced Suit Defense, Space Vacuum Life Support",12,10 bc,"Head Armor, Body Armor, Arm Armor, Leg Armor",15/15,Quality,,,
Soldier Suit,1,"Soldier Suit Defense, Space Vacuum Life Support",12,10 bc,"Head Armor, Body Armor, Arm Armor, Leg Armor",15/15,Quality,,,
,,,,,,,,,,
Engineering Multi-tool,1,"Repair Base Dice Tier Adjustment (+2), Muzzleloading Pistol (+0) (One-handed), Muzzleloading Pistol (+0) (Two-handed), Muzzleloading Pistol (+0) (Dual-wielded)",3,?,,,,,,
,,,,,,,,,,
Muzzleloading Pistol,1,"Muzzleloading Pistol (+0) (One-handed), Muzzleloading Pistol (+0) (Two-handed), Muzzleloading Pistol (+0) (Dual-wielded)",3,?,,,,,,
Arquebus,1,"Arquebus (+0) (One-handed), Arquebus (+0) (Two-handed)",7,?,,,,,,
Musket,1,"Musket (+0) (One-handed), Musket (+0) (Two-handed)",10,?,,,,,,
,,,,,,,,,,
Standard Muzzleloading Pistol Cartridge,1,Standard Muzzleloading Pistol Cartridge,0.0275,?,,,,,,
Standard Arquebus Cartridge,1,Standard Arquebus Cartridge,0.0275,?,,,,,,
Standard Musket Cartridge,1,Standard Musket Cartridge,0.0275,?,,,,,,
,,,,,,,,,,
Glock 17,1,"9mm Semi-automatic Pistol (+0) (One-handed), 9mm Semi-automatic Pistol (+0) (Two-handed), 9mm Semi-automatic Pistol (+0) (Dual-wielded)",2,?,,,,,,
Beretta 93R,1,"9mm Semi-automatic Pistol (+0) (One-handed), 9mm Semi-automatic Pistol (+0) (Two-handed), 9mm Semi-automatic Pistol (+0) (Dual-wielded), 9mm Burst-fire Pistol (+0) (One-handed), 9mm Burst-fire Pistol (+0) (Two-handed), 9mm Burst-fire Pistol (+0) (Dual-wielded)",2.5,?,,,,,,
Glock 18,1,"9mm Semi-automatic Pistol (+0) (One-handed), 9mm Semi-automatic Pistol (+0) (Two-handed), 9mm Semi-automatic Pistol (+0) (Dual-wielded), 9mm Automatic Pistol (+0) (One-handed), 9mm Automatic Pistol (+0) (Two-handed), 9mm Automatic Pistol (+0) (Dual-wielded)",2.5,?,,,,,,
Remington 870,1,"12 Gauge Pump-action Shotgun (+0) (One-handed), 12 Gauge Pump-action Shotgun (+0) (Two-handed)",7.5,?,,,,,,
AR-15,1,"5.56 Semi-automatic Rifle (+0) (One-handed), 5.56 Semi-automatic Rifle (+0) (Two-handed)",6.5,?,,,,,,
M16A2,1,"5.56 Semi-automatic Rifle (+0) (One-handed), 5.56 Semi-automatic Rifle (+0) (Two-handed), 5.56 Burst Rifle (+0) (One-handed), 5.56 Burst Rifle (+0) (Two-handed), 5.56 Automatic Rifle (+0) (One-handed), 5.56 Automatic Rifle (+0) (Two-handed)",7.5,?,,,,,,
Remington M700,1,".308 Bolt Action Rifle (+0) (One-handed), .308 Bolt Action Rifle (+0) (Two-handed)",9,?,,,,,,
M249,1,"5.56 Machine Gun (+0) (One-handed), 5.56 Machine Gun (+0) (Two-handed)",17,?,,,,,,
RPG-7,1,"RPG Launcher (+0) (One-handed), RPG Launcher (+0) (Two-handed)",15,?,,,,,,
,,,,,,,,,,
9mm FMJ Ammo,1,9mm FMJ Ammo,0.016,?,,,,,,
12 Gauge Buckshot Ammo,1,12 Gauge Buckshot Ammo,0.05,?,,,,,,
5.56 FMJ Ammo,1,5.56 FMJ Ammo,0.02,?,,,,,,
.308 FMJ Ammo,1,.308 FMJ Ammo,0.031,?,,,,,,
RPG Ammo,1,RPG Ammo,4,?,,,,,,
,,,,,,,,,,
Cuneiform Tablets,1,Spellcasting Focus,0.1,1 cc,,,Mundane,,,
Petty Brightstone,1,Light Storage,0.1,?,"Brightstone is a rare gem that can hold light. The only place it can be found is near Crossroads, where it is said that Bright Lord fell after taking a hit from Amon during the Great Betrayal. The finer and more precisely the gem is cut the more light it can hold.",,Excellent,,,
Mechanical Heart,1,"Phenomena Detection, Forbidden Whispers",1,?,"""With this Heart, I will hear many secrets…"" - Unknown

Said to have been designed by the lord of Tuntin, who subsequently died in the fire that burned his estate to the ground. A vessel designed to contain a soul, it is used to help uncover runecrafts and other supernatural events throughout Terra.",,Exquisite,,,
Smithing Stone Fragment,1,,0.1,10 bc,,,Mundane,,,
Smithing Stone Shard,1,,0.2,50 bc,,,Superior,,,
Large Smithing Stone Shard,1,,1,100 bc,,,Mastercraft,,,
Smithing Stone Chunk,1,,5,250 bc,,,Legendary,,,
Smithing Stone Slab,1,,40,?,,,Artifact,,,
Ogre's Spiked Club,1,"Reach Bludgeon Melee (+0) (One-handed), Reach Bludgeon Melee (+0) (Two-handed), Reach Hafted Point",14,41 cc,,12/12,Mundane,,,
Leather Cuisses and Greaves of Speed,1,"Leg Armor, Phy. Def. 0.5, Minorly Enhanced Athletics",3,2 bc,,12/12,Mundane,,,
Tin Coins,1,,0.02,1 tc,,,Mundane,,,
Copper Coin,1,,0.02," 1 cc",,,Mundane,,,
Bronze Coin,1,,0.02," 1 bc",,,Mundane,,,
Gold Coin,1,,0.02," 1 gc",,,Mundane,,,
Platinum Coin,1,,0.02," 1 pc",,,Mundane,,,
,,,,,,,,,,
Dagger,1,"Small Pierce Melee (+0) (One-handed), Small Pierce Melee (+0) (Dual-wielded), Small Slash Melee (+0) (One-handed), Small Slash Melee (+0) (Dual-wielded), Thrown Small Pierce Melee (+0) (One-handed), Thrown Small Pierce Melee (+0) (Dual-wielded)",1,2 bc,,12/12,Mundane,,,
Shortsword,1,"Small Pierce Melee (+1) (One-handed), Small Pierce Melee (+1) (Dual-wielded), Small Slash Melee (+1) (One-handed), Small Slash Melee (+1) (Dual-wielded)",1.5,5 bc,,15/15,Quality,,,
Arming Sword,1,"Medium Pierce Melee (+0) (One-handed), Medium Pierce Melee (+0) (Dual-wielded), Medium Slash Melee (+0) (One-handed), Medium Slash Melee (+0) (Dual-wielded)",2,10 bc,,12/12,Mundane,,,
Bastard Sword,1,"Medium Pierce Melee (+0) (One-handed), Medium Pierce Melee (+0) (Two-handed), Medium Pierce Melee (+0) (Dual-wielded), Medium Slash Melee (+0) (One-handed), Medium Slash Melee (+0) (Two-handed), Medium Slash Melee (+0) (Dual-wielded)",2.5,15 bc,,12/12,Mundane,,,
Longsword,1,"Large Pierce Melee (+0) (One-handed), Large Pierce Melee (+0) (Two-handed), Large Slash Melee (+0) (One-handed), Large Slash Melee (+0) (Two-handed)",3,25 bc,,12/12,Mundane,,,
Greatsword,1,"Reach Pierce Melee (+0) (One-handed), Reach Pierce Melee (+0) (Two-handed), Reach Slash Melee (+0) (One-handed), Reach Slash Melee (+0) (Two-handed)",6,50 bc,,12/12,Mundane,,,
,,,,,,,,,,
Handaxe,1,"Small Hew Melee (+0) (One-handed), Small Hew Melee (+0) (Dual-wielded), Thrown Small Hew Melee (+0) (One-handed), Thrown Small Hew Melee (+0) (Dual-wielded)",2,5 bc,,12/12,Mundane,,,
Shoddy Sickle,1,"Small Slash Melee (-1) (One-handed), Small Slash Melee (-1) (Dual-wielded), Thrown Small Slash Melee (-1) (One-handed), Thrown Small Slash Melee (-1) (Dual-wielded)",2,50 cc,,9/9,Shoddy,,,
Sickle,1,"Small Hafted Blade, Thrown Small Hafted Blade",2,1 bc,,12/12,Mundane,,,
Light Hammer,1,"Small Bludgeon Melee (+0) (One-handed), Small Bludgeon Melee (+0) (Dual-wielded), Thrown Small Bludgeon Melee (+0) (One-handed), Thrown Small Bludgeon Melee (+0) (Dual-wielded)",2,2 bc,,12/12,Mundane,,,
Rapier,1,"Medium Pierce Melee (+2) (One-handed), Medium Pierce Melee (+2) (Dual-wielded), Medium Slash Melee (+0) (One-handed), Medium Slash Melee (+0) (Dual-wielded)",2,25 bc,,15/15,Quality,,,
Scimitar,1,"Medium Pierce Melee (+0) (One-handed), Medium Pierce Melee (+0) (Dual-wielded), Medium Slash Melee (+2) (One-handed), Medium Slash Melee (+2) (Dual-wielded)",2,25 bc,,15/15,Quality,,,
Shoddy Scimitar,1,"Medium Pierce Melee (-1) (One-handed), Medium Pierce Melee (-1) (Dual-wielded), Medium Slash Melee (+1) (One-handed), Medium Slash Melee (+1) (Dual-wielded)",2,5 bc,,9/9,Shoddy,,,
Battleaxe,1,"Medium Hew Melee (+0) (One-handed), Medium Hew Melee (+0) (Two-handed), Medium Hew Melee (+0) (Dual-wielded)",3,10 bc,,12/12,Mundane,,,
Flail,1,"Medium Bludgeon Melee (+0) (One-handed), Medium Bludgeon Melee (+0) (Two-handed), Medium Bludgeon Melee (+0) (Dual-wielded)",3,10 bc,,12/12,Mundane,,,
Morning Star,1,"Medium Bludgeon Melee (+0) (One-handed), Medium Bludgeon Melee (+0) (Two-handed), Medium Bludgeon Melee (+0) (Dual-wielded), Medium Pierce Melee (+0) (One-handed), Medium Pierce Melee (+0) (Two-handed), Medium Pierce Melee (+0) (Dual-wielded)",4,15 bc,,12/12,Mundane,,,
Mace,1,"Medium Bludgeon Melee (+0) (One-handed), Medium Bludgeon Melee (+0) (Two-handed), Medium Bludgeon Melee (+0) (Dual-wielded)",3,5 bc,,12/12,Mundane,,,
Warhammer/pick,1,"Medium Bludgeon Melee (+0) (One-handed), Medium Bludgeon Melee (+0) (Two-handed), Medium Bludgeon Melee (+0) (Dual-wielded), Medium Pierce Melee (+0) (One-handed), Medium Pierce Melee (+0) (Two-handed), Medium Pierce Melee (+0) (Dual-wielded)",2,15 bc,,12/12,Mundane,,,
Glaive,1,"Large Slash Melee (+0) (One-handed), Large Slash Melee (+0) (Two-handed)",6,20 bc,,12/12,Mundane,,,
Dane Axe,1,"Large Hew Melee (+0) (One-handed), Large Hew Melee (+0) (Two-handed)",4,11 bc,,12/12,Mundane,,,
Maul,1,"Large Bludgeon Melee (+0) (One-handed), Large Bludgeon Melee (+0) (Two-handed)",7,10 bc,,12/12,Mundane,,,
Spear,1,"Large Spear (+0) (One-handed), Large Spear (+0) (Two-handed), Thrown Large Spear (+0) (One-handed)",3,1 bc,,12/12,Mundane,,,
